,ma120,ma120_slope,ma20,ma20_slope,ma5,ma5_slope,ma60,ma60_slope,weighted_avg,날짜,종목명,종목코드,주식_종가,시가총액
12236,13172.5,-0.0012652622255962089,12330.0,-0.0038523925385239256,12250.0,-0.0024489795918367346,12665.833333333334,0.0005921442200144746,-0.0023663639316770257,2021.06.22,아바코,083930,12250,189600000000
12416,1465.2666666666667,-0.001592429136903356,1636.0,-0.005501222493887531,1654.0,0.014510278113663845,1568.25,0.002922578245390249,0.008544072642797851,2021.06.22,위월드,140660,1680,4200000000
12596,2228.0833333333335,-0.0010472379100124104,2402.75,0.0009364270107168869,2392.0,0.006270903010033445,2405.6666666666665,-0.0012470555632534295,0.004086304906839153,2021.06.22,한국토지신탁,034830,2365,593300000000
12776,72362.5,-0.002429895779351577,79325.0,-0.004034037188780334,82560.0,0.0,80728.33333333333,0.0028903524165411944,-0.0006392669850695263,2021.06.22,미원화학,134380,83000,182500000000
12956,11216.75,-0.0035363778872370393,13325.0,-0.0024390243902439024,13560.0,0.0022123893805309734,12689.166666666666,-0.0007224009982267862,0.0007011892251118216,2021.06.22,에이치엔에스하이텍,044990,13450,101000000000
13136,19507.083333333332,-0.0029262874596833865,21395.0,-0.016592661836877774,24630.0,-0.01867641088103938,19814.166666666668,-0.005635698363965237,-0.016168083649431845,2021.06.22,차바이오텍,085660,25900,1405900000000
13316,45112.5,0.000517225454881369,43697.5,-0.004233651810744322,44540.0,0.000673551863493489,42579.166666666664,-0.0015265681573539485,-0.0005357171938694229,2021.06.22,일진다이아,081000,44200,622800000000
13496,26534.583333333332,-0.0016330888934252012,28590.0,-0.006208464498076251,29840.0,-0.007372654155495978,27235.0,-0.00333516920629088,-0.006449089465987984,2021.06.22,티와이홀딩스,363280,30100,1211200000000
13676,14602.5,0.0015122981224676556,13525.0,-0.00018484288354898336,13580.0,0.003681885125184094,14345.833333333334,0.0008713331397037467,0.002519004974753622,2021.06.22,엑시콘,092870,13300,138300000000
13856,17542.083333333332,-0.0008313341725849051,18572.5,-0.004038228563736707,18820.0,0.0005313496280552603,18325.0,0.0,-0.0005038351631406675,2021.06.22,중앙백신,072020,18850,186300000000
14036,2582.4166666666665,-0.0006937945722675201,2435.5,0.003079449804968179,2360.0,0.0029661016949152543,2446.25,-0.0003406574689150679,0.0024751005871836685,2021.06.22,나눔테크,244880,2340,11700000000
14395,3169.7083333333335,-0.0036543846042617436,3844.5,-0.008583690987124463,4371.0,-0.025165865934568748,3628.6666666666665,-0.0071422009920999036,-0.018971490384317655,2021.06.22,엘에이티,311060,4360,11100000000
14575,10444.25,0.00011968307920626181,10372.5,-0.0031332851289467343,10590.0,-0.0066100094428706326,10306.666666666666,-0.0012128072445019406,-0.00503845973414514,2021.06.22,팜스빌,318010,10800,86000000000
14755,2722.875,-0.004866180048661801,2960.75,-0.004644093557375665,3112.0,-0.012532133676092546,2894.5,-0.002389589451258081,-0.009556973548494187,2021.06.22,SG&G,040610,3155,107500000000
14935,9732.0,-0.0004795177421563975,10273.0,-0.0039423732113306725,10470.0,0.0066857688634192934,9904.833333333334,-0.0025240202594692825,0.0032808972059016586,2021.06.22,동일고무벨트,163560,10300,141800000000
15115,2517.4583333333335,-0.002350254059153698,3252.5,-0.002229054573405073,3230.0,0.011145510835913313,2828.0833333333335,-0.0057754073724843626,0.006103717688456517,2021.06.22,이미지스,115610,3145,23900000000
15295,10856.666666666666,0.0011129874117286405,11592.5,0.007332326935518654,12010.0,-0.0033305578684429643,11451.333333333334,-0.004293532048669838,-0.0010721010616647475,2021.06.22,인카금융서비스,211050,11950,53700000000
