종목명,분기,기업코드,유동자산,부채총계,청산가치
동양피스톤,2021년 1분기 보고서,00117726,124748259368,185142796532,-60394537164
클리오,2021년 1분기 보고서,00957735,124378185282,80060143527,44318041755
라이온켐텍,2021년 1분기 보고서,00317104,68316176843,30306549065,38009627778
SK텔레콤,2021년 1분기 보고서,00159023,5017246000000,14507580000000,-9490334000000
옴니시스템,2021년 1분기 보고서,00265005,53181682062,19058962733,34122719329
인터지스,2021년 1분기 보고서,00151368,172081287814,175986761520,-3905473706
CJ씨푸드,2021년 1분기 보고서,00129013,47859278123,66687750816,-18828472693
올릭스,2021년 1분기 보고서,01113718,15216732004,6851580000,8365152004
쿠쿠홀딩스,2021년 1분기 보고서,00132354,50523832741,69738723887,-19214891146
무림P&P,2021년 1분기 보고서,00119007,1152121146636,566122238033,585998908603
인바이오,2021년 1분기 보고서,00367871,61983823368,36113297506,25870525862
펄어비스,2021년 1분기 보고서,01152470,431347602052,6617800000,424729802052
진성티이씨,2021년 1분기 보고서,00174208,127876999137,74053289443,53823709694
SDN,2021년 1분기 보고서,00574611,55251190324,60377419446,-5126229122
신도기연,2021년 1분기 보고서,00961570,49307714235,19364998277,29942715958
로보티즈,2021년 1분기 보고서,00946030,47269492962,10702046798,36567446164
피씨엘,2021년 1분기 보고서,01051092,104731481987,88601502429,16129979558
코리아에스이,2021년 1분기 보고서,00527491,19394045863,5486543041,13907502822
한국콜마,2021년 1분기 보고서,00939331,391429619614,411312864536,-19883244922
카페24,2021년 1분기 보고서,00260879,59128313197,65559754372,-6431441175
스카이문스테크놀로지,2021년 1분기 보고서,00276083,14560569896,6329397436,8231172460
핸즈코퍼레이션,2021년 1분기 보고서,00119140,252137228368,296726908698,-44589680330
브이원텍,2021년 1분기 보고서,01027794,66508459543,28141923113,38366536430
코세스,2021년 1분기 보고서,00365934,31083585952,37662283360,-6578697408
애경산업,2021년 1분기 보고서,00139454,269679072200,123877713929,145801358271
노터스,2021년 1분기 보고서,01189438,19506518342,17764694956,1741823386
슈프리마에이치큐,2021년 1분기 보고서,00599957,45886882469,7198784327,38688098142
엘이티,2021년 1분기 보고서,00523936,48350830212,18764463709,29586366503
휴네시온,2021년 1분기 보고서,01251577,14728796188,4256001295,10472794893
SK네트웍스,2021년 1분기 보고서,00131780,2039076000000,3850968000000,-1811892000000
하나금융16호스팩,2021년 1분기 보고서,01419384,8320983210,940959439,7380023771
파워넷,2021년 1분기 보고서,00231354,76949524211,62520991460,14428532751
창해에탄올,2021년 1분기 보고서,00123523,40376300057,48675545491,-8299245434
CS홀딩스,2021년 1분기 보고서,00149026,39606071548,8284323221,31321748327
조선선재,2021년 1분기 보고서,00796994,109811981669,12285388035,97526593634
현대글로비스,2021년 1분기 보고서,00360595,4999573415732,5334492238418,-334918822686
조광피혁,2021년 1분기 보고서,00148939,103402916130,35169952395,68232963735
KPX케미칼,2021년 1분기 보고서,00191472,624300017938,441861343681,182438674257
디케이티,2021년 1분기 보고서,01137903,40922571320,7979440962,32943130358
세종공업,2021년 1분기 보고서,00134510,359891800446,350019195071,9872605375
파트론,2021년 1분기 보고서,00490151,313430379232,232760774746,80669604486
박셀바이오,2021년 1분기 보고서,01335851,18486430287,600273127,17886157160
KC그린홀딩스,2021년 1분기 보고서,00159971,134086537848,11217490000,122869047848
모바일어플라이언스,2021년 1분기 보고서,00556615,54431880603,33741684826,20690195777
코퍼스코리아,2021년 1분기 보고서,01364297,41041659327,21525227413,19516431914
세아제강,2021년 1분기 보고서,01325979,552486156052,512202489716,40283666336
신원,2021년 1분기 보고서,00136864,281803709589,253387355897,28416353692
덕신하우징,2021년 1분기 보고서,00454937,73050522504,70676228061,2374294443
