,종목명,종목코드,기업코드,수정일
734,에스엠비나,299670,01203507,20210225
735,비나텍,126340,00563518,20210225
736,오상자이엘,053980,00226547,20210225
737,알티캐스트,085810,00364254,20210223
738,신풍제지,002870,00137368,20210223
739,신한제7호스팩,366330,01514528,20210318
740,대원미디어,048910,00351807,20210318
741,쇼박스,086980,00303794,20210329
742,디와이파워,210540,01059605,20210224
743,나이벡,138610,00767628,20210225
744,이스트소프트,047560,00273420,20210225
745,DMS,068790,00361594,20210302
746,아바텍,149950,00442048,20210302
747,씨엔티드림,286000,01114559,20210302
748,사조동아원,008040,00137252,20210302
749,제일약품,271980,01236897,20210302
750,현대건설기계,267270,01205842,20210303
751,국제엘렉트릭코리아,053740,00218052,20210304
752,하림,136480,00857727,20210310
753,파티게임즈,194510,00977696,20210310
754,비츠로시스,054220,00201432,20210310
755,라이프시맨틱스,347700,01336762,20210324
756,보해양조,000890,00123541,20210325
757,에스엔유,080000,00455981,20210331
758,후성,093370,00595191,20210331
759,에이플러스에셋,244920,00684802,20210331
760,게임빌,063080,00535746,20210331
761,에스디시스템,121890,00604815,20210331
762,스템랩,258540,01109122,20210331
763,우리이앤엘,153490,00815095,20210331
764,듀오백,073190,00407771,20210224
765,한국제8호스팩,310870,01336443,20210225
766,대한약품,023910,00113128,20210225
767,동아,012760,00116806,20210225
768,오션스톤,329020,01388631,20210302
769,효성중공업,298040,01316245,20210304
770,SIMPAC,009160,00138260,20210304
771,경농,002100,00101433,20210331
772,남선알미늄,008350,00107224,20210331
773,농우바이오,054050,00176835,20210331
774,KR모터스,000040,00112378,20210331
775,태웅,044490,00186799,20210331
776,아이에스동서,010780,00115977,20210331
777,두산,000150,00117212,20210331
778,SGC에너지,005090,00125150,20210331
779,케이엘넷,039420,00246620,20210331
780,삼영전자공업,005680,00127200,20210331
781,씨씨에스,066790,00249441,20210331
782,SH에너지화학,002360,00136457,20210331
783,CJ ENM,035760,00265324,20210331
784,SK가스,018670,00144164,20210331
785,한솔로지스틱스,009180,00140946,20210225
786,AP위성,211270,00874803,20210225
787,앙츠,267810,01187865,20210225
788,한국투자파트너스,019560,00162081,20210225
789,서호전기,065710,00220622,20210226
790,신한제6호스팩,333050,01407158,20210302
791,대신밸런스제8호스팩,336570,01407909,20210302
792,싸이맥스,160980,00659161,20210302
793,펩트론,087010,00415868,20210302
794,세우글로벌,013000,00134176,20210302
795,삼양통상,002170,00127042,20210304
796,아이엘사이언스,307180,01326279,20210304
797,하나머스트7호스팩,372290,01513404,20210305
798,모베이스,101330,00498001,20210317
799,우리산업,215360,01077577,20210326
800,인터플렉스,051370,00369170,20210330
801,서린바이오,038070,00373447,20210330
802,뉴프렉스,085670,00493510,20210330
803,예스티,122640,00530556,20210330
804,앤씨앤,092600,00537337,20210330
805,제넥신,095700,00545929,20210330
806,갤럭시아머니트리,094480,00587457,20210330
807,디바이스이엔지,187870,00624509,20210330
808,씨유메디칼,115480,00681249,20210330
809,야스,255440,00875307,20210330
810,드림시큐리티,203650,01038693,20210330
811,디딤,217620,01068658,20210330
812,쿠첸,225650,01102095,20210225
813,유에스티,263770,01196313,20210225
814,이상네트웍스,080010,00454399,20210225
815,유티아이,179900,00961774,20210225
816,모비스,250060,01165155,20210225
817,오리온홀딩스,001800,00117577,20210226
818,CS,065770,00303703,20210302
819,삼진엘앤디,054090,00239514,20210302
820,더존비즈온,012510,00172291,20210302
821,유니온커뮤니티,203450,00408266,20210302
822,에스에프에이,056190,00358271,20210302
823,오리엔트바이오,002630,00141626,20210305
824,이매진아시아,036260,00122339,20210326
825,에스퓨얼셀,288620,01257872,20210330
826,솔브레인,357780,01489648,20210330
827,동양건설산업,005900,00117072,20210330
828,베뉴지,019010,00267906,20210331
829,조비,001550,00148948,20210331
830,두산중공업,034020,00159616,20210331
831,광진윈텍,090150,00365624,20210331
832,미래테크놀로지,213090,01015726,20210224
833,윈텍,320000,01359815,20210224
834,유니테스트,086390,00540447,20210225
835,지엠비코리아,013870,00156354,20210226
836,키움제5호스팩,311270,01337220,20210226
837,아이티엠반도체,084850,00579980,20210223
838,제노포커스,187420,00983916,20210302
839,하나기술,299030,00601191,20210302
840,지누스,013890,00150633,20210317
841,상상인증권,001290,00112059,20210309
842,링네트,042500,00352499,20210309
843,나노씨엠에스,247660,00660459,20210309
844,이씨에스,067010,00400060,20210309
845,뿌리깊은나무들,266170,00990396,20210326
846,신성델타테크,065350,00136226,20210224
847,케이씨더블류,068060,00175650,20210225
848,경창산업,024910,00102353,20210225
849,이엘피,063760,00374020,20210225
850,아이디스,143160,00883980,20210225
851,켐트로스,220260,01089350,20210225
852,아이디피,332370,01213586,20210225
853,세종텔레콤,036630,00268002,20210225
854,오하임아이엔티,309930,01335453,20210225
855,황금에스티,032560,00218575,20210225
856,에스지신성건설,001970,00173661,20210225
857,에스에이티이엔지,158300,00563147,20210225
858,모헨즈,006920,00163318,20210225
859,KNN,058400,00208134,20210302
860,유진로봇,056080,00234227,20210302
861,아이에이치큐,003560,00154426,20210302
862,에이블씨엔씨,078520,00400857,20210302
863,프레스티지바이오파마,950210,01510489,20210302
864,녹십자랩셀,144510,01010642,20210302
865,유진테크,084370,00531014,20210302
866,브랜드엑스코퍼레이션,337930,01391103,20210302
867,대주코레스,008340,00133715,20210302
868,픽셀플러스,087600,00495086,20210305
869,아이스크림에듀,289010,00983934,20210317
870,아스타,246720,01157235,20210317
871,엘앤에프,066970,00398701,20210318
872,삼성에스디에스,018260,00126186,20210318
873,신도리코,029530,00135795,20210318
874,멀티캠퍼스,067280,00425351,20210318
875,한국주철관공업,000970,00159573,20210318
876,이엘케이,094190,00379016,20210316
877,팍스넷,038160,00334624,20210317
878,바이오다인,314930,01117413,20210317
879,대양전기공업,108380,00111193,20210326
880,서울제약,018680,00131018,20210329
881,계양전기,012200,00102618,20210329
882,남광토건,001260,00107066,20210329
883,한국선재,025550,00158015,20210329
884,대영포장,014160,00111458,20210329
885,메디프론,065650,00391197,20210331
886,녹원씨엔아이,065560,00393469,20210331
887,KTcs,058850,00372882,20210331
888,제이앤티씨,204270,00447575,20210331
889,덴티움,145720,00526599,20210331
890,인포뱅크,039290,00243757,20210225
891,콜마비앤에이치,200130,01032404,20210225
892,동원개발,013120,00117966,20210225
893,메디쎄이,200580,01018617,20210223
894,지성이씨에스,138290,00890388,20210302
895,에이프로,262260,00604268,20210302
896,네오오토,212560,00876865,20210302
897,호텔신라,008770,00165680,20210302
898,플레이디,237820,00862853,20210308
899,프리젠,060910,00353230,20210308
900,씨앗,103660,00762377,20210318
901,삼호개발,010960,00128980,20210319
902,진양산업,003780,00150439,20210319
903,파라다이스,034230,00171265,20210329
904,대원강업,000430,00111847,20210329
905,한국팩키지,037230,00198192,20210329
906,해성산업,034810,00219361,20210329
907,세아제강지주,003030,00124197,20210329
908,한국경제TV,039340,00263371,20210329
909,엑사이엔씨,054940,00360577,20210329
910,삼진제약,005500,00128412,20210329
911,탑엔지니어링,065130,00366845,20210329
912,삼화페인트공업,000390,00129387,20210329
913,KG모빌리언스,046440,00405278,20210329
914,신대양제지,016590,00135777,20210329
915,누리플랜,069140,00410997,20210329
916,신라교역,004970,00135962,20210329
917,오뚜기,007310,00141529,20210329
918,플랜티넷,075130,00490179,20210329
919,일동홀딩스,000230,00146083,20210329
920,에이테크솔루션,071670,00384887,20210330
921,셀리버리,268600,01182444,20210225
922,우주일렉트로,065680,00390903,20210225
923,아남전자,008700,00138516,20210225
924,룽투코리아,060240,00373571,20210225
925,락앤락,115390,00561866,20210225
926,이라이콤,041520,00137289,20210226
927,대보마그네틱,290670,01259418,20210302
928,한미글로벌,053690,00413523,20210302
929,동아지질,028100,00178754,20210302
930,센트랄모텍,308170,00450010,20210302
931,이루다,164060,01142400,20210302
932,코셋,189350,00965062,20210302
933,코아스템,166480,00989664,20210302
934,다이노나,086080,00364111,20210319
935,종근당홀딩스,001630,00149354,20210329
936,청담러닝,096240,00525882,20210329
937,진흥기업,002780,00150828,20210329
938,로보스타,090360,00536523,20210329
939,태광산업,003240,00153393,20210329
940,장원테크,174880,00659684,20210329
941,풍산홀딩스,005810,00155531,20210329
942,코스메카코리아,241710,00763473,20210329
943,한국프랜지공업,010100,00160418,20210329
944,나무가,190510,00819374,20210329
945,퍼시스,016800,00161709,20210329
946,에이치엔티,176440,00872452,20210329
947,한올바이오파마,009420,00162586,20210329
948,필옵틱스,161580,00938721,20210329
949,오션브릿지,241790,01113754,20210329
950,코스맥스비티아이,044820,00219574,20210329
951,잉글우드랩,950140,01165739,20210329
952,한화플러스제1호스팩,340440,01416572,20210329
953,CJ대한통운,000120,00113410,20210330
954,비츠로테크,042370,00103644,20210330
955,명문제약,017180,00121039,20210330
956,CJ프레시웨이,051500,00127954,20210330
957,에쓰씨엔지니어링,023960,00121969,20210330
958,서한,011370,00131504,20210330
959,에코플라스틱,038110,00139153,20210330
960,코오롱,002020,00152862,20210330
961,한탑,002680,00140566,20210330
962,이화전기,024810,00145738,20210330
963,국동,005320,00168331,20210330
964,피제이전자,006140,00155735,20210330
965,CJ CGV,079160,00303873,20210330
966,시그네틱스,033170,00158219,20210330
967,교촌에프앤비,339770,00453284,20210330
968,동국산업,005160,00172680,20210330
969,진도,088790,00557933,20210330
970,리더스코스메틱,016100,00180263,20210330
971,미원홀딩스,107590,00706715,20210330
972,미래엔에듀파트너,208890,00876209,20210225
973,일동제약,249420,01168383,20210225
974,엔터미디어,068420,00407975,20210225
975,신일제약,012790,00137058,20210223
976,알보젠코리아,002250,00105244,20210302
977,한창제지,009460,00163761,20210302
978,대화제약,067080,00210740,20210309
979,태림페이퍼,019300,00118460,20210319
980,풍림산업,001310,00155498,20210319
981,명신산업,009900,00173078,20210319
982,제일제강,023440,00148531,20210322
983,도화엔지니어링,002150,00114552,20210322
984,KG동부제철,016380,00115676,20210322
985,이엠텍,091120,00541163,20210322
986,삼성중공업,010140,00126478,20210322
987,테크트랜스,258050,01246742,20210225
988,셀리드,299660,01235296,20210225
989,소프트캠프,258790,01182408,20210225
990,에스에프씨,112240,00450339,20210226
991,옵티시스,109080,00660291,20210226
992,이엔드디,101360,00619640,20210223
993,가온미디어,078890,00441304,20210223
994,에스앤에스텍,101490,00411048,20210302
995,에스엔피제네틱스,086460,00548519,20210302
996,트루윈,105550,00766106,20210302
997,효성,004800,00117188,20210309
998,렌딩머신,179720,00978075,20210310
999,풀무원,017810,00155355,20210310
1000,삼일제약,000520,00128032,20210322
1001,유한양행,000100,00145109,20210322
1002,삼성물산,028260,00149655,20210322
1003,LG유플러스,032640,00231363,20210322
1004,대한유화,006650,00260383,20210322
1005,만도,204320,01042775,20210322
1006,피엔아이컴퍼니,242350,00990563,20210322
1007,제이알글로벌리츠,348950,01415892,20210302
1008,우진아이엔에스,010400,00143262,20210224
1009,한국공항,005430,00156691,20210224
1010,씨엠에스에듀,225330,00914040,20210225
1011,제네시스디벨롭먼트홀딩스,053320,00350738,20210225
1012,에이에프더블류,312610,01223219,20210226
1013,삼원강재,023000,00191588,20210302
1014,DL,000210,00109693,20210322
1015,현대오토에버,307950,00362441,20210329
1016,LF,093050,00593032,20210329
1017,CJ제일제당,097950,00635134,20210329
1018,패션플랫폼,225590,01101041,20210224
1019,한송네오텍,226440,01101722,20210225
1020,비즈니스온,138580,01014657,20210225
1021,틸론,217880,00976615,20210225
1022,성지건설,005980,00133238,20210225
1023,삼아알미늄,006110,00126779,20210226
1024,흥구석유,024060,00167004,20210302
1025,성우전자,081580,00364306,20210323
1026,잇츠한불,226320,00911955,20210329
1027,코스맥스,192820,01009789,20210329
1028,서연이화,200880,01036446,20210329
1029,마크로젠,038290,00261373,20210224
1030,동일산업,004890,00172936,20210224
1031,휴젤,145020,00888347,20210224
1032,한국9호스팩,368770,01513440,20210225
1033,동양파일,228340,00993931,20210225
1034,경동나비엔,009450,00101488,20210223
1035,삼양식품,003230,00126955,20210302
1036,THE E&M,089230,00519252,20210302
1037,우리금융캐피탈,033660,00209443,20210420
1038,삼일씨엔에스,004440,00109806,20210302
1039,셰프라인,012250,00142591,20210302
1040,유안타제8호스팩,367480,01504910,20210406
1041,휴맥스,115160,00787057,20210409
1042,테이팩스,055490,00256955,20210409
1043,아세아시멘트,183190,00990165,20210409
1044,탑선,180060,00874937,20210409
1045,감성코퍼레이션,036620,00261009,20210412
1046,EMB,278990,01117246,20210412
1047,폴라리스오피스,041020,00269852,20210412
1048,레몬,294140,01011395,20210412
1049,네오리진,094860,00599106,20210423
1050,연이비앤티,090740,00495554,20210428
1051,피앤씨테크,237750,00525864,20210428
1052,롯데쇼핑,023530,00120526,20210428
1053,뷰웍스,100120,00609324,20210428
1054,센트럴인사이트,012600,00151863,20210428
1055,SK,034730,00181712,20210428
1056,쿠콘,294570,01311055,20210428
1057,로보쓰리,238500,01118643,20210428
1058,용평리조트,070960,00365989,20210420
1059,에스케이바이오팜,326030,00878696,20210408
1060,에스아이리소스,065420,00120906,20210412
1061,코리아에셋투자증권,190650,00304915,20210331
1062,신영증권,001720,00136721,20210331
1063,부산은행,005280,00124106,20210423
1064,동원F&B,049770,00340917,20210303
1065,이노와이즈,086250,00166333,20210303
1066,광전자,017900,00152729,20210408
1067,신라젠,215600,00919966,20210408
1068,KH 일렉트론,111870,00125965,20210427
1069,블루탑,191600,00611286,20210427
1070,이즈미디어,181340,00861720,20210331
1071,바이오로그디바이스,208710,01047707,20210331
1072,시스웍,269620,01188378,20210331
1073,이베스트이안스팩1호,323210,01366365,20210331
1074,이베스트스팩5호,349720,01436336,20210331
1075,세틀뱅크,234340,00763701,20210305
1076,동원금속,018500,00118008,20210308
1077,케어젠,214370,00549891,20210409
1078,수산중공업,017550,00135111,20210409
1079,엠로,058970,00396925,20210409
1080,롯데손해보험,000400,00113562,20210401
1081,삼보산업,009620,00125822,20210401
1082,에코마이스터,064510,00127699,20210401
1083,일진머티리얼즈,020150,00113997,20210401
1084,모베이스전자,012860,00137234,20210401
1085,한국알콜,017890,00158565,20210401
1086,코너스톤네트웍스,033110,00194275,20210401
1087,아시아나항공,020560,00138792,20210401
1088,경동인베스트,012320,00143527,20210401
1089,UCI,038340,00215976,20210401
1090,제일연마,001560,00148461,20210401
1091,티씨케이,064760,00245472,20210401
1092,COWON,056000,00361266,20210401
1093,한국내화,010040,00160205,20210401
1094,새론오토모티브,075180,00305668,20210409
1095,신세계I&C,035510,00219486,20210412
1096,넥스턴바이오,089140,00416414,20210421
1097,강남제비스코,000860,00100939,20210421
1098,아센디오,012170,00145437,20210421
1099,코윈테크,282880,01211232,20210421
1100,이삭엔지니어링,351330,01135640,20210421
1101,해성티피씨,059270,00453442,20210421
1102,깨끗한나라,004540,00113492,20210427
1103,SK디스커버리,006120,00131832,20210414
1104,SBS콘텐츠허브,046140,00280688,20210414
1105,가온전선,000500,00104768,20210419
1106,남해화학,025860,00107987,20210419
1107,싸이버원,356890,01293953,20210311
1108,프레스티지바이오로직스,334970,01258428,20210311
1109,이크레더블,092130,00634728,20210409
1110,대유플러스,000300,00126089,20210412
1111,팬젠,222110,00962922,20210302
1112,아시아나IDT,267850,00458234,20210401
1113,컴투스,078340,00476498,20210401
1114,KEC,092220,00589127,20210401
1115,서울바이오시스,092190,00488402,20210401
1116,에어부산,298690,00651901,20210401
1117,제이스텍,090470,00493185,20210401
1118,에스와이,109610,00535481,20210401
1119,관악산업,076340,00321204,20210401
1120,모바일리더,100030,00641171,20210401
1121,바이오프로테크,199290,00669450,20210401
1122,엔시트론,101400,00641393,20210401
1123,미애부,225850,00866594,20210401
1124,래몽래인,200350,00990819,20210401
1125,스킨앤스킨,159910,00896753,20210401
1126,엠앤씨생명과학,225860,01116274,20210401
1127,나무기술,242040,01136348,20210401
1128,NHN벅스,104200,00645089,20210413
1129,젠큐릭스,229000,01051472,20210413
1130,미래SCI,028040,00111865,20210413
1131,SBI인베스트먼트,019550,00156910,20210413
1132,샘코,263540,00971090,20210422
1133,포스코,005490,00155319,20210315
1134,화승코퍼레이션,013520,00166272,20210315
1135,데이터스트림즈,199150,00553025,20210414
