,종목명,종목코드,기업코드,날짜,분기,유동자산,부채총계,청산가치,weighted_avg,주식_종가,증감
60,퓨쳐스트림네트웍스,214270,1061497,2021.06.21,2021년 1분기 보고서,24712589984,69231664093,-44519074109,0.0013004198427252198,1260,-0.03076923076923077
62,아모텍,052710,298447,2021.06.21,2021년 1분기 보고서,148549361419,251924863210,-103375501791,0.0010185201359210784,30050,-0.1239067055393586
64,삼영이엔씨,065570,288343,2021.06.21,2021년 1분기 보고서,65474955273,25342065446,40132889827,-0.0012023757620942177,9060,0.09025270758122744
66,선진뷰티사이언스,086710,132202,2021.06.21,2021년 1분기 보고서,39152027121,54341180251,-15189153130,-0.002437373085719501,19200,-0.0746987951807229
68,SK케미칼,285130,1267170,2021.06.21,2021년 1분기 보고서,961589928258,911780391090,49809537168,-0.0027166003980300833,269000,0.07385229540918163
70,코리아센터,290510,540340,2021.06.21,2021년 1분기 보고서,243591249508,7524598900,236066650608,0.0012267623027557852,8100,-0.06141367323290846
72,대상홀딩스,084690,539274,2021.06.21,2021년 1분기 보고서,34502253680,23683531571,10818722109,0.003489382050567619,11200,0.037037037037037035
74,TJ미디어,032540,201733,2021.06.21,2021년 1분기 보고서,28802127303,27834857612,967269691,-0.015590805421190984,5650,0.44871794871794873
76,애니젠,196300,808086,2021.06.21,2021년 1분기 보고서,10674365573,19463219749,-8788854176,0.0042232095260780885,14200,0.010676156583629894
78,엠투아이,347890,670766,2021.06.21,2021년 1분기 보고서,40383119188,11945674738,28437444450,-0.006444153595374249,10200,0.026156941649899398
80,에스씨엠생명과학,298060,1110474,2021.06.21,2021년 1분기 보고서,31906316926,14105303917,17801013009,0.0030754794647558695,31200,-0.060240963855421686
82,이트론,096040,480756,2021.06.21,2021년 1분기 보고서,34531033838,15394513927,19136519911,0.00763235967171853,754,0.08959537572254335
84,이녹스첨단소재,272290,1237540,2021.06.21,2021년 1분기 보고서,206715142179,138825429538,67889712641,-0.012609446053233164,69200,0.23792486583184258
86,바이오리더스,142760,587925,2021.06.21,2021년 1분기 보고서,57051593478,-110421276677,167472870155,-0.0006384666437457932,6560,0.3333333333333333
88,화천기계,010660,166500,2021.06.21,2021년 1분기 보고서,72798529988,35699714719,37098815269,-0.0032495947338089066,2910,0.13450292397660818
90,원익머트리얼즈,104830,623661,2021.06.21,2021년 1분기 보고서,111960733737,31168680955,80792052782,-0.0012317166137014136,34950,-0.07783641160949868
92,멜파스,096640,609315,2021.06.21,2021년 1분기 보고서,15127296196,31549117084,-16421820888,-0.01081740415574272,2265,0.09685230024213075
94,부광약품,003000,123718,2021.06.21,2021년 1분기 보고서,208869167891,105715997282,103153170609,0.007449898804945719,20350,-0.13771186440677965
96,케이티스카이라이프,053210,349097,2021.06.21,2021년 1분기 보고서,411597075923,119554915000,292042160923,0.005842936529856115,10400,0.2037037037037037
98,아바코,083930,442145,2021.06.21,2021년 1분기 보고서,170331584856,90218586983,80112997873,0.0012352767048758348,12100,-0.047244094488188976
100,미원화학,134380,855163,2021.06.21,2021년 1분기 보고서,56600214410,27380704149,29219510261,-0.0025403627731870096,82500,-0.0625
102,차바이오텍,085660,525679,2021.06.21,2021년 1분기 보고서,116494465111,157641693941,-41147228830,-0.010395775207903492,24700,0.31382978723404253
104,일진다이아,081000,508274,2021.06.21,2021년 1분기 보고서,91179002730,27206391894,63972610836,0.0022470423492955477,44100,0.09158415841584158
106,티와이홀딩스,363280,1497869,2021.06.21,2021년 1분기 보고서,13973583805,24574701367,-10601117562,-0.009061524921720309,30000,0.14068441064638784
108,엑시콘,092870,611736,2021.06.21,2021년 1분기 보고서,52692046066,21045142057,31646904009,0.0014283353423060387,13400,-0.04964539007092199
110,중앙백신,072020,415327,2021.06.21,2021년 1분기 보고서,46128966675,25614463274,20514503401,0.0008557663233969532,18850,0.061971830985915494
112,팜스빌,318010,986898,2021.06.21,2021년 1분기 보고서,27018946523,3964669000,23054277523,-0.00313294024307982,10600,0.04950495049504951
114,SG&G,040610,264714,2021.06.21,2021년 1분기 보고서,11045280012,49219244745,-38173964733,-0.014821462286101468,3185,0.10590277777777778
116,동일고무벨트,163560,939687,2021.06.21,2021년 1분기 보고서,161881838200,90545915410,71335922790,0.005690424725652508,10250,0.11534276387377584
118,이미지스,115610,694942,2021.06.21,2021년 1분기 보고서,8622189482,2598050665,6024138817,0.0005294845389345489,3245,0.44222222222222224
120,성도이엔지,037350,216498,2021.06.21,2021년 1분기 보고서,146184116381,135460638540,10723477841,0.0020203167997736326,6210,0.05612244897959184
122,한국맥널티,222980,579139,2021.06.21,2021년 1분기 보고서,29438836861,22411686431,7027150430,-0.015153871810144107,10900,-0.00909090909090909
124,육일씨엔에쓰,191410,843900,2021.06.21,2021년 1분기 보고서,22533565511,33050956429,-10517390918,-0.034229948672162884,4500,0.41509433962264153
126,바다로19호,155900,910947,2021.06.21,2021년 1분기 보고서,3800962871,3213657210,587305661,-0.002920287362739403,2755,0.076171875
128,사람인에이치알,143240,857480,2021.06.21,2021년 1분기 보고서,63274743105,5829631500,57445111605,0.0070610496530982515,37200,0.056818181818181816
130,퀀타매트릭스,317690,1311286,2021.06.21,2021년 1분기 보고서,49559101673,4617907919,44941193754,-0.013951823298509101,15300,-0.0783132530120482
132,압타바이오,293780,1251595,2021.06.21,2021년 1분기 보고서,46300302026,3741866730,42558435296,0.00010469179396399987,61200,0.11272727272727273
134,위드텍,348350,925587,2021.06.21,2021년 1분기 보고서,96433952560,29318455389,67115497171,0.004360044199293913,22650,-0.5070729053318824
136,아프리카TV,067160,399694,2021.06.21,2021년 1분기 보고서,210819796207,150380102880,60439693327,-0.012379881291736932,111600,0.42165605095541403
138,심텍홀딩스,036710,152127,2021.06.21,2021년 1분기 보고서,4782290777,11485092638,-6702801861,-0.006768176539959494,2985,0.15028901734104047
140,심텍,222800,1095722,2021.06.21,2021년 1분기 보고서,188844768849,446674170948,-257829402099,-0.007858183679856304,23300,0.0639269406392694
142,솔트룩스,304100,1050738,2021.06.21,2021년 1분기 보고서,29068700646,2540457500,26528243146,0.0008480653467704086,30350,-0.03343949044585987
144,팬엔터테인먼트,068050,397191,2021.06.21,2021년 1분기 보고서,27017395684,35962030083,-8944634399,-0.007395943827163029,6920,-0.16926770708283315
146,솔루엠,248070,1159233,2021.06.21,2021년 1분기 보고서,199727393063,104828281366,94899111697,-0.0011606405365003258,28400,0.1225296442687747
148,셀트리온헬스케어,091990,554024,2021.06.21,2021년 1분기 보고서,3227041904765,1500650225233,1726391679532,0.00015079237331800722,122800,-0.09705882352941177
150,OQP,078590,230814,2021.06.21,2021년 1분기 보고서,39137733125,327923185216,-288785452091,2.5286663230277513e-05,3890,0.0
152,노루홀딩스,000320,113508,2021.06.21,2021년 1분기 보고서,71325129018,66292803546,5032325472,0.008718573593051504,14000,0.08949416342412451
154,라온피플,300120,1251489,2021.06.21,2021년 1분기 보고서,58248670165,5677043834,52571626331,0.0012925729050562212,23100,-0.0958904109589041
156,브릿지바이오,288330,1227039,2021.06.21,2021년 1분기 보고서,50137745651,5373968168,44763777483,-0.003647614620661705,14950,0.12406015037593984
158,파미셀,005690,145163,2021.06.21,2021년 1분기 보고서,45092920934,13295396068,31797524866,-0.006865287461188847,17700,0.1760797342192691
160,아이앤씨,052860,365758,2021.06.21,2021년 1분기 보고서,20286615012,13424817389,6861797623,0.0003801723940034449,5050,0.14772727272727273
162,에스엠코어,007820,137915,2021.06.21,2021년 1분기 보고서,67043236376,19652023763,47391212613,-0.003676070699897743,7860,0.042440318302387266
164,라닉스,317120,1327092,2021.06.21,2021년 1분기 보고서,5886160314,14872806179,-8986645865,-0.00036001547236801584,11100,-0.09387755102040816
166,코미코,183300,997812,2021.06.21,2021년 1분기 보고서,51874768622,68318153873,-16443385251,0.001327437907948448,66300,0.03271028037383177
168,네오크레마,311390,1219155,2021.06.21,2021년 1분기 보고서,23929554503,8646956622,15282597881,-0.008375440475710844,10750,0.3711734693877551
170,모트렉스,118990,876908,2021.06.21,2021년 1분기 보고서,99964896362,129294025881,-29329129519,0.0027311645618025055,5810,-0.02023608768971332
172,에스티오,098660,612188,2021.06.21,2021년 1분기 보고서,44001085054,40195703147,3805381907,-0.00032124530506082995,3550,0.28390596745027125
174,OCI,010060,148896,2021.06.21,2021년 1분기 보고서,870483721000,1048755548000,-178271827000,0.012314744132479447,112500,-0.07407407407407407
176,텔레칩스,054450,423177,2021.06.21,2021년 1분기 보고서,96746879622,87621866242,9125013380,-0.0012992148512832695,18950,0.18808777429467086
178,HRS,036640,230911,2021.06.21,2021년 1분기 보고서,35121254048,12941197222,22180056826,-0.00468732574124269,6060,0.034129692832764506
180,덕성,004830,114093,2021.06.21,2021년 1분기 보고서,57979604698,39021230628,18958374070,0.0117519034612371,24800,-0.027450980392156862
182,성문전자,014910,132628,2021.06.21,2021년 1분기 보고서,12015357684,6030699588,5984658096,-0.0013740616552661738,2805,0.31381733021077285
184,한국유니온제약,080720,532855,2021.06.21,2021년 1분기 보고서,41571724197,29026410227,12545313970,0.005046036706364949,14800,0.15625
186,넥센타이어,002350,173874,2021.06.21,2021년 1분기 보고서,895698224605,1107955135671,-212256911066,0.0029032117909516962,8430,0.10921052631578948
188,KG케미칼,001390,101220,2021.06.21,2021년 1분기 보고서,78937129870,144950467258,-66013337388,-0.033273664513685325,37450,0.387037037037037
190,도이치모터스,067990,449379,2021.06.21,2021년 1분기 보고서,141670263763,319867865730,-178197601967,0.006660725723044875,8400,0.18811881188118812
192,PI첨단소재,178920,767460,2021.06.21,2021년 1분기 보고서,158623906644,138360286964,20263619680,-0.01054536474912284,52100,0.1400437636761488
194,한국철강,104700,687711,2021.06.21,2021년 1분기 보고서,533441189966,171045532864,362395657102,0.007610902777469885,9840,-0.08037383177570094
196,KISCO홀딩스,001940,159740,2021.06.21,2021년 1분기 보고서,100195456578,5128968615,95066487963,-0.00827143473926862,20800,0.2023121387283237
198,핑거,163730,1142075,2021.06.21,2021년 1분기 보고서,35618648716,12898960001,22719688715,-6.542072147481843e-06,19150,-0.05665024630541872
200,보령제약,003850,123143,2021.06.21,2021년 1분기 보고서,321605522940,307076290747,14529232193,-0.002193689809064248,23550,0.13221153846153846
202,큐리언트,115180,1042650,2021.06.21,2021년 1분기 보고서,4200953628,5762492000,-1561538372,0.0002295224796549728,30300,-0.0380952380952381
204,송원산업,004430,134963,2021.06.21,2021년 1분기 보고서,331046000000,398345000000,-67299000000,0.004981813935403326,19350,-0.04914004914004914
206,메디아나,041920,273439,2021.06.21,2021년 1분기 보고서,54371078348,10961816414,43409261934,-0.0018182328770276147,15000,0.041666666666666664
208,와이엠씨,155650,870861,2021.06.21,2021년 1분기 보고서,65172735302,26367226270,38805509032,0.0019380717528209544,7940,-0.15531914893617021
210,예선테크,250930,1166109,2021.06.21,2021년 1분기 보고서,21548901154,26798433132,-5249531978,-0.02301856398199638,3060,0.18375241779497098
212,티에스아이,277880,1139035,2021.06.21,2021년 1분기 보고서,40123513576,24310586384,15812927192,0.007423192840283905,9830,0.007172131147540984
214,마이크로프랜드,147760,654175,2021.06.21,2021년 1분기 보고서,37145501193,19628003290,17517497903,-0.004232901605694624,8880,0.03255813953488372
216,서플러스글로벌,140070,599285,2021.06.21,2021년 1분기 보고서,136210218468,112565727824,23644490644,0.00046207876966224625,5690,0.09633911368015415
218,코스모신소재,005070,129989,2021.06.21,2021년 1분기 보고서,140531066424,174721999512,-34190933088,-0.011837086765368422,27800,0.5027027027027027
220,메디톡스,086900,580199,2021.06.21,2021년 1분기 보고서,111446897091,206081692628,-94634795537,-0.021056954046179868,209500,0.11081654294803818
222,대한제강,084010,113225,2021.06.21,2021년 1분기 보고서,312283436976,206928098648,105355338328,0.0036887673102658945,21150,0.26646706586826346
224,하나제약,293480,248974,2021.06.21,2021년 1분기 보고서,150713339575,53761883136,96951456439,0.0029316455177079486,22500,-0.0835030549898167
226,롯데지주,004990,120562,2021.06.21,2021년 1분기 보고서,7243087224951,21179372000,7221907852951,0.0070554299887294405,39800,0.17058823529411765
228,GS리테일,007070,140177,2021.06.21,2021년 1분기 보고서,912680395755,3331876105001,-2419195709246,0.006045884441558738,36650,-0.039318479685452164
230,서연,007860,163114,2021.06.21,2021년 1분기 보고서,28628817961,5911875714,22716942247,0.007015955314955525,19250,-0.17381974248927037
232,한일네트웍스,046110,277736,2021.06.21,2021년 1분기 보고서,50840438098,62124921795,-11284483697,-0.005300870095216151,7010,0.23633156966490299
234,인지디스플레,037330,265421,2021.06.21,2021년 1분기 보고서,71137585368,187141606712,-116004021344,-0.0021140271080978415,3430,0.011799410029498525
236,위세아이텍,065370,374738,2021.06.21,2021년 1분기 보고서,24550753655,15268362568,9282391087,-0.0024848044246886954,13250,0.003787878787878788
238,동양피스톤,092780,117726,2021.06.21,2021년 1분기 보고서,124748259368,185142796532,-60394537164,0.009133185743692231,6200,0.10320284697508897
240,클리오,237880,957735,2021.06.21,2021년 1분기 보고서,124378185282,80060143527,44318041755,0.0037793315446468185,26500,0.3486005089058524
242,라이온켐텍,171120,317104,2021.06.21,2021년 1분기 보고서,68316176843,30306549065,38009627778,0.006481462674075068,10350,0.21908127208480566
244,SK텔레콤,017670,159023,2021.06.21,2021년 1분기 보고서,5017246000000,14507580000000,-9490334000000,0.004097535700557668,321000,0.16727272727272727
246,옴니시스템,057540,265005,2021.06.21,2021년 1분기 보고서,53181682062,19058962733,34122719329,-0.0017907102352223087,2370,0.10747663551401869
248,인터지스,129260,151368,2021.06.21,2021년 1분기 보고서,172081287814,175986761520,-3905473706,-0.004277395559406917,4330,0.009324009324009324
250,CJ씨푸드,011150,129013,2021.06.21,2021년 1분기 보고서,47859278123,66687750816,-18828472693,0.0005180272664744406,4730,-0.009424083769633508
252,올릭스,226950,1113718,2021.06.21,2021년 1분기 보고서,15216732004,6851580000,8365152004,0.004029990561749797,41000,0.04725415070242656
254,쿠쿠홀딩스,192400,132354,2021.06.21,2021년 1분기 보고서,50523832741,69738723887,-19214891146,-0.0003388378825623443,132500,0.0392156862745098
256,무림P&P,009580,119007,2021.06.21,2021년 1분기 보고서,1152121146636,566122238033,585998908603,0.007842093416448944,5440,0.09788092835519677
258,인바이오,352940,367871,2021.06.21,2021년 1분기 보고서,61983823368,36113297506,25870525862,-0.008913464144286487,11850,0.0871559633027523
260,펄어비스,263750,1152470,2021.06.21,2021년 1분기 보고서,431347602052,6617800000,424729802052,0.0014354601774499698,64700,-0.7900032456994482
262,진성티이씨,036890,174208,2021.06.21,2021년 1분기 보고서,127876999137,74053289443,53823709694,0.008515576080089562,12600,-0.17647058823529413
264,SDN,099220,574611,2021.06.21,2021년 1분기 보고서,55251190324,60377419446,-5126229122,-0.0011967507693790573,2880,-0.04950495049504951
266,신도기연,290520,961570,2021.06.21,2021년 1분기 보고서,49307714235,19364998277,29942715958,0.000914721119171186,16300,-0.057803468208092484
268,로보티즈,108490,946030,2021.06.21,2021년 1분기 보고서,47269492962,10702046798,36567446164,0.001801652167992741,15700,-0.039755351681957186
270,피씨엘,241820,1051092,2021.06.21,2021년 1분기 보고서,104731481987,88601502429,16129979558,-0.018168115006452667,58900,0.2194616977225673
272,코리아에스이,101670,527491,2021.06.21,2021년 1분기 보고서,19394045863,5486543041,13907502822,-0.015526801107561692,2220,0.7619047619047619
274,한국콜마,161890,939331,2021.06.21,2021년 1분기 보고서,391429619614,411312864536,-19883244922,0.0039780842146271604,58400,0.017421602787456445
276,카페24,042000,260879,2021.06.21,2021년 1분기 보고서,59128313197,65559754372,-6431441175,0.002217070886732581,30050,-0.07822085889570553
278,스카이문스테크놀로지,033790,276083,2021.06.21,2021년 1분기 보고서,14560569896,6329397436,8231172460,0.0,829,0.0
280,핸즈코퍼레이션,143210,119140,2021.06.21,2021년 1분기 보고서,252137228368,296726908698,-44589680330,-0.0007184571794952277,6730,0.0029806259314456036
282,브이원텍,251630,1027794,2021.06.21,2021년 1분기 보고서,66508459543,28141923113,38366536430,-0.0031332291744198913,10550,0.009569377990430622
284,코세스,089890,365934,2021.06.21,2021년 1분기 보고서,31083585952,37662283360,-6578697408,0.004508096370034354,8480,0.03540903540903541
286,애경산업,018250,139454,2021.06.21,2021년 1분기 보고서,269679072200,123877713929,145801358271,0.0034905146377472943,27750,0.11895161290322581
288,노터스,278650,1189438,2021.06.21,2021년 1분기 보고서,19506518342,17764694956,1741823386,0.005928789295802234,26150,0.007707129094412331
290,슈프리마에이치큐,094840,599957,2021.06.21,2021년 1분기 보고서,45886882469,7198784327,38688098142,-0.004207324824393496,10700,0.1849390919158361
292,엘이티,297890,523936,2021.06.21,2021년 1분기 보고서,48350830212,18764463709,29586366503,-0.0038579937470126107,20650,0.15363128491620112
294,휴네시온,290270,1251577,2021.06.21,2021년 1분기 보고서,14728796188,4256001295,10472794893,-0.00392129866917205,6920,0.12155591572123177
296,SK네트웍스,001740,131780,2021.06.21,2021년 1분기 보고서,2039076000000,3850968000000,-1811892000000,0.006819155542704778,5860,0.04085257548845471
298,하나금융16호스팩,343510,1419384,2021.06.21,2021년 1분기 보고서,8320983210,940959439,7380023771,0.001303895536019038,2160,0.03349282296650718
300,파워넷,037030,231354,2021.06.21,2021년 1분기 보고서,76949524211,62520991460,14428532751,-0.0026718583275578437,5640,-0.08737864077669903
302,창해에탄올,004650,123523,2021.06.21,2021년 1분기 보고서,40376300057,48675545491,-8299245434,-0.0074470812741814305,15100,0.15267175572519084
304,CS홀딩스,000590,149026,2021.06.21,2021년 1분기 보고서,39606071548,8284323221,31321748327,0.0017396376012347456,70800,0.10108864696734059
306,조선선재,120030,796994,2021.06.21,2021년 1분기 보고서,109811981669,12285388035,97526593634,0.0026912921336263097,128500,-0.05166051660516605
308,현대글로비스,086280,360595,2021.06.21,2021년 1분기 보고서,4999573415732,5334492238418,-334918822686,-0.01075151148972613,204500,0.09066666666666667
310,조광피혁,004700,148939,2021.06.21,2021년 1분기 보고서,103402916130,35169952395,68232963735,0.0005706589725006831,55600,0.02018348623853211
312,KPX케미칼,025000,191472,2021.06.21,2021년 1분기 보고서,624300017938,441861343681,182438674257,-0.0017240480961860977,66000,0.03773584905660377
314,디케이티,290550,1137903,2021.06.21,2021년 1분기 보고서,40922571320,7979440962,32943130358,0.0016165140681573846,19850,0.05026455026455026
316,세종공업,033530,134510,2021.06.21,2021년 1분기 보고서,359891800446,350019195071,9872605375,5.940603703957374e-05,8740,-0.033185840707964605
318,파트론,091700,490151,2021.06.21,2021년 1분기 보고서,313430379232,232760774746,80669604486,0.0017748614362490729,10350,-0.03271028037383177
320,박셀바이오,323990,1335851,2021.06.21,2021년 1분기 보고서,18486430287,600273127,17886157160,0.007053742384527104,91900,-0.17946428571428572
322,KC그린홀딩스,009440,159971,2021.06.21,2021년 1분기 보고서,134086537848,11217490000,122869047848,-0.002549671580253024,5440,0.15498938428874734
324,모바일어플라이언스,087260,556615,2021.06.21,2021년 1분기 보고서,54431880603,33741684826,20690195777,0.0017680362274816882,4190,-0.10085836909871244
326,코퍼스코리아,322780,1364297,2021.06.21,2021년 1분기 보고서,41041659327,21525227413,19516431914,-0.0014709779584163299,3045,0.22289156626506024
328,세아제강,306200,1325979,2021.06.21,2021년 1분기 보고서,552486156052,512202489716,40283666336,0.010578484362535013,103000,0.08535300316122234
330,신원,009270,136864,2021.06.21,2021년 1분기 보고서,281803709589,253387355897,28416353692,-0.010970367919961747,2130,0.42953020134228187
332,덕신하우징,090410,454937,2021.06.21,2021년 1분기 보고서,73050522504,70676228061,2374294443,-0.005977337656424445,1760,0.21379310344827587
334,인천도시가스,034590,145862,2021.06.21,2021년 1분기 보고서,210106982153,212815889456,-2708907303,-0.0006957479326416184,28700,0.1124031007751938
336,액트로,290740,1141942,2021.06.21,2021년 1분기 보고서,53257214161,6055836562,47201377599,0.0004892650259317958,9100,-0.0945273631840796
338,신풍제약,019170,137359,2021.06.21,2021년 1분기 보고서,305669427353,99471296387,206198130966,-0.005137088827772831,78100,-0.08225616921269095
340,하나머스트제6호스팩,307160,1326260,2021.06.21,2021년 1분기 보고서,9111152284,748108299,8363043985,0.001331401350595209,2095,-0.04337899543378995
342,한솔피엔에스,010420,103626,2021.06.21,2021년 1분기 보고서,92179359461,65328114324,26851245137,-0.004438726200110247,2600,0.3032581453634085
344,SKC,011790,139889,2021.06.21,2021년 1분기 보고서,311163095040,1047079679557,-735916584517,-0.005176876720677133,144500,0.1245136186770428
346,대창스틸,140520,112721,2021.06.21,2021년 1분기 보고서,104011806748,154375166200,-50363359452,-0.0011261551701315332,3645,0.2482876712328767
348,에스티아이,039440,298340,2021.06.21,2021년 1분기 보고서,117882679483,51581472633,66301206850,0.003526302722966452,18050,-0.09296482412060302
350,디오,039840,115931,2021.06.21,2021년 1분기 보고서,159061589386,122253272623,36808316763,-0.0031313681641532494,41150,0.10174029451137885
352,한독크린텍,256150,1069736,2021.06.21,2021년 1분기 보고서,26530959325,8127234819,18403724506,-0.006776043573500982,16600,-0.496206373292868
354,KMH,122450,657987,2021.06.21,2021년 1분기 보고서,226888757632,144961991903,81926765729,0.0009522436977242539,11650,0.017467248908296942
356,그리티,204020,671978,2021.06.21,2021년 1분기 보고서,58878632710,11807380166,47071252544,-0.004412799373425036,4135,0.3126984126984127
358,지에스이,053050,351995,2021.06.21,2021년 1분기 보고서,35511595850,95872564927,-60360969077,0.0017856001302156224,2100,0.21739130434782608
360,모두투어,080160,456218,2021.06.21,2021년 1분기 보고서,91008544840,79353139722,11655405118,0.001751278608632177,27650,0.251131221719457
362,와이아이케이,232140,1109539,2021.06.21,2021년 1분기 보고서,239437997719,104627319505,134810678214,0.0009598449759479729,6420,-0.025796661608497723
364,자비스,254120,1174038,2021.06.21,2021년 1분기 보고서,13722947139,19777478534,-6054531395,-0.00993525997828537,2530,0.19339622641509435
366,유니크,011320,147152,2021.06.21,2021년 1분기 보고서,89131341938,110363484690,-21232142752,9.09241061019066e-05,8580,0.05925925925925926
368,아이큐어,175250,554352,2021.06.21,2021년 1분기 보고서,61764795245,111643296670,-49878501425,0.001868878648522389,41500,-0.04157043879907621
370,NICE평가정보,030190,158325,2021.06.21,2021년 1분기 보고서,166783380561,100088504537,66694876024,-0.0017189293242042018,24050,-0.05128205128205128
372,제노레이,122310,799539,2021.06.21,2021년 1분기 보고서,62110609587,20449783860,41660825727,-0.005676178638769588,10850,0.09706774519716886
374,대봉엘에스,078140,442826,2021.06.21,2021년 1분기 보고서,53519024086,14410667232,39108356854,0.000675977256104339,11050,0.09405940594059406
376,한세엠케이,069640,357360,2021.06.21,2021년 1분기 보고서,83577612125,46533901175,37043710950,-0.04372149715213289,6310,0.6561679790026247
378,솔본,035610,249982,2021.06.21,2021년 1분기 보고서,15799980116,3037200864,12762779252,0.0032035570543550215,6430,-0.33779608650875387
380,세아베스틸,001430,106669,2021.06.21,2021년 1분기 보고서,711252557623,958689206765,-247436649142,0.010795746282068851,28950,0.5606469002695418
382,유니드,014830,159786,2021.06.21,2021년 1분기 보고서,281430601080,288573649475,-7143048395,-0.0037204580690378903,78700,0.16420118343195267
384,CJ,001040,148540,2021.06.21,2021년 1분기 보고서,96918907000,463899154000,-366980247000,0.0028207199492025804,106500,0.13297872340425532
386,상신전자,263810,760999,2021.06.21,2021년 1분기 보고서,41818224837,22360957087,19457267750,-0.004288065242401019,5540,0.1422680412371134
388,태경산업,015890,153339,2021.06.21,2021년 1분기 보고서,43204189135,27593860623,15610328512,0.0045970630512524235,6650,-0.16352201257861634
